"LANGUAGE","Français","Language name (in native language).  This means the NAME OF THE LANGUAGE BEING TRANSLATED INTO, and should NOT be a translation of the word 'English'"
"DISABLED","Désactivé",""
"LOW","Faible",""
"MID","Moyen",""
"HIGH","Élevé",""
"K45_TLM_DETECTED","Une ancienne version de Transport Lines Manager par Klyte45 est détectée. Pensez à mettre à jour vers la version de t1a2l pour une prise en charge complète des fonctionnalités.",""
"SETTINGS_ISSUE_DETECTED","Vos paramètres semblent présenter des problèmes pouvant affecter votre expérience.",""
"SETTINGS_ISSUE_DETECTED_QUICKFIX","Correction rapide",""
"WHATSNEW_L1","Ce message est juste pour vous informer que le mod a été mis à jour.",""
"WHATSNEW_L2","Pour une liste détaillée des changements, veuillez visiter l'Atelier Steam ou GitHub.",""
"WHATSNEW_L3","Merci pour votre utilisation et votre soutien !",""
"ERROR","Oups ! Une erreur s'est produite :",""
"ERROR_COPY","Copier",""
"ERROR_SUPPORT","Support",""
"MODDESCRIPTION","Observez votre ville sous un angle différent","Mod's Description"
"SETTINGS_GROUPNAME_GENERAL","Options générales",""
"SETTINGS_GROUPNAME_CAM","Options de la caméra",""
"SETTINGS_GROUPNAME_CAMCONTROL","Contrôles de la caméra",""
"SETTINGS_GROUPNAME_FREECAM","Options du mode Caméra libre",""
"SETTINGS_GROUPNAME_FOLLOW","Options du mode Suivi",""
"SETTINGS_GROUPNAME_WALKTHRU","Options du mode Parcours",""
"SETTINGS_GROUPNAME_KEYMAP","Mappage des touches",""
"SETTINGS_GROUPNAME_SMOOTHTRANS","Options de transition fluide",""
"SETTINGS_GROUPNAME_OPT","Options d'optimisation",""
"SETTINGS_RESETBTN","Réinitialiser les paramètres du mod",""
"SETTINGS_RESETOFFSETBTN","Réinitialiser les paramètres de type",""
"SETTINGS_IMPORT","Importer les paramètres v2",""
"SETTINGS_IMPORTCONFIRM","Confirmez-vous l'importation des paramètres de First Person Camera v2 (incluant les paramètres du mod et les paramètres de type) ? Cela écrasera les paramètres actuels du mod et fusionnera les paramètres de type importés avec ceux existants.",""
"SETTINGS_IMPORTSUCCESSED","Vos paramètres ont été importés avec succès.",""
"SETTINGS_OPENWIKI","Ouvrir le Wiki",""
"SETTINGS_HIDEUI","Masquer l'interface du jeu",""
"SETTINGS_SETBACKCAMERA","Réinitialiser la caméra après désactivation",""
"SETTINGS_SETBACKCAMERA_DETAIL","Lors de la désactivation de la caméra FPS, la remettre à sa position d'origine",""
"SETTINGS_SHOWINFOPANEL","Afficher le panneau d'information par défaut",""
"SETTINGS_INFOPANELHEIGHTSCALE","Facteur d'échelle de la hauteur du panneau d'information",""
"SETTINGS_SPEEDUNIT","Unité de vitesse",""
"SETTINGS_FADE","Activer l'animation de fondu du panneau principal",""
"SETTINGS_MAXPITSHDEG","Angle de vision vertical maximal",""
"SETTINGS_MAXPITSHDEG_DETAIL","L'angle maximal pour tourner la caméra de haut en bas.",""
"SETTINGS_ENABLEDOF","Appliquer l'effet de profondeur de champ",""
"SETTINGS_MOVEMENTSPEED","Vitesse de déplacement",""
