"LANGUAGE","Italiano","Language name (in native language).  This means the NAME OF THE LANGUAGE BEING TRANSLATED INTO, and should NOT be a translation of the word 'English'"
"DISABLED","Disabilitato",""
"LOW","Basso",""
"MID","Medio",""
"HIGH","Alto",""
"K45_TLM_DETECTED","È stata rilevata una versione precedente di Transport Lines Manager di Klyte45. Si consiglia di aggiornare alla versione di t1a2l per il supporto completo delle funzionalità.",""
"SETTINGS_ISSUE_DETECTED","Le tue impostazioni sembrano presentare problemi che potrebbero influenzare la tua esperienza.",""
"SETTINGS_ISSUE_DETECTED_QUICKFIX","Riparazione rapida",""
"WHATSNEW_L1","Questo messaggio serve solo per informarti che la mod è stata aggiornata.",""
"WHATSNEW_L2","Per un elenco dettagliato delle modifiche, visita la Steam Workshop o GitHub.",""
"WHATSNEW_L3","Grazie per l'uso e il supporto!",""
"ERROR","Ops! Qualcosa è andato storto:",""
"ERROR_COPY","Copia",""
"ERROR_SUPPORT","Supporto",""
"MODDESCRIPTION","Guarda la tua città da una prospettiva diversa","Mod's Description"
"SETTINGS_GROUPNAME_GENERAL","Opzioni Generali",""
"SETTINGS_GROUPNAME_CAM","Opzioni Fotocamera",""
"SETTINGS_GROUPNAME_CAMCONTROL","Controlli Fotocamera",""
"SETTINGS_GROUPNAME_FREECAM","Opzioni Modalità Fotocamera Libera",""
"SETTINGS_GROUPNAME_FOLLOW","Opzioni Modalità Segui",""
"SETTINGS_GROUPNAME_WALKTHRU","Opzioni Modalità Passeggiata",""
"SETTINGS_GROUPNAME_KEYMAP","Assegnazioni Tasti",""
"SETTINGS_GROUPNAME_SMOOTHTRANS","Opzioni Transizione Morbida",""
"SETTINGS_GROUPNAME_OPT","Opzioni Ottimizzazione",""
"SETTINGS_GROUPNAME_INFOPANEL","Opzioni pannello informazioni",""
"SETTINGS_RESETBTN","Ripristina Impostazioni Mod",""
"SETTINGS_RESETOFFSETBTN","Ripristina Impostazioni Tipo",""
"SETTINGS_IMPORT","Importa impostazioni v2",""
